,smell value,TEST
31,5.0,0.0222219879
32,5.0,0.0034209475
0,5.0,0.010579896
1,5.0,0.138710867
2,4.0,0.302237822
3,3.0,0.053788665
4,5.0,0.193254207
5,5.0,0.041139246
6,4.0,0.18282833
7,5.0,0.006771339
8,5.0,0.007012859
9,10.0,0.040434762
10,9.0,0.065223342
11,3.0,0.004061547
12,10.0,0.050981745
13,4.0,0.067799934
14,12.0,0.113412065
15,5.0,0.183654337
16,5.0,0.195473929
17,7.0,0.164766464
18,5.0,0.133221185
19,5.0,0.130532172
20,4.0,0.011004876
21,3.0,0.002916943
22,5.0,0.032680295
23,4.0,0.067268318
24,10.0,0.045129642
25,4.0,0.047771928
26,5.0,0.065712809
27,8.0,0.096883829
28,8.0,0.014330623
29,7.0,0.017040852
30,13.0,0.037555014
31,3.0,0.057578103
32,5.0,0.034029597
33,10.0,0.140633485
34,5.0,0.031262885
35,10.0,0.021144316
36,5.0,0.012766048
37,8.0,0.01521073
38,10.0,0.015462158
39,5.0,0.326855705
40,5.0,0.045702585999999996
41,4.0,0.06963572999999999
42,5.0,0.09402508700000001
43,4.0,0.015759132
44,4.0,0.013329173
45,3.0,0.699141735
46,10.0,0.139048967
47,18.0,0.023180413
48,7.0,0.059225998
49,4.0,0.050890095
50,4.0,1.527525256
51,9.0,0.088293222
52,5.0,0.073141433
0,4.0,0.000474383
1,9.0,0.000685296
2,4.0,0.000907026
3,3.0,7.147e-05
4,4.0,7.55e-06
5,4.0,0.0
6,4.0,0.0004376044
7,5.0,0.0004715374
8,5.0,0.0002400748
9,4.0,0.0002021802
10,5.0,0.0002889396
11,4.0,0.000924671
12,5.0,0.0010631031
13,5.0,0.0038053551
14,4.0,0.0036477423
15,5.0,0.0007211000999999999
16,5.0,0.001359479
17,4.0,0.0015406491
18,5.0,0.001902841
19,10.0,0.0019351427
20,3.0,0.0023714552
21,5.0,0.0049713389
22,5.0,0.0042398188
23,3.0,4.4731e-05
24,8.0,0.0039435992
25,5.0,0.0034476074
26,4.0,0.0038376388
27,5.0,0.0051484166
28,5.0,0.0156095814
29,4.0,0.0305778622
30,5.0,0.0060334572999999996
31,3.0,0.0053569464
32,14.0,0.0058543799
33,8.0,0.0090475753
34,5.0,0.0098758713
35,5.0,0.012645389
36,4.0,0.0162446785
37,5.0,0.0228785895
38,5.0,0.0222738856
39,3.0,0.0028986241
40,4.0,0.0020150901000000002
0,5.0,0.0
1,9.0,0.0
2,4.0,0.0
3,9.0,0.004776391
4,3.0,0.010847957
5,3.0,0.007142074
6,4.0,0.004735997
7,4.0,0.002861398
8,7.0,0.010197409
9,5.0,0.016359823
10,4.0,0.018539084
11,3.0,0.006062969
12,4.0,0.011091342
13,5.0,0.003862448
14,9.0,0.021059368
15,5.0,0.007911128
16,5.0,0.013429413
17,3.0,0.006628816
18,9.0,0.010081083
19,5.0,0.017726211
20,8.0,0.006699702
21,8.0,0.008205078
22,5.0,0.008371731
23,10.0,0.016517902
24,15.0,0.011434815
25,25.0,0.012270107
26,37.0,0.013324228
27,14.0,0.009705222
28,9.0,0.0047531150000000005
29,9.0,0.005396421
30,18.0,0.005534732
31,5.0,0.007852478
32,3.0,0.014175159
33,5.0,0.024914191
34,5.0,0.028360467
35,43.0,0.023637321
36,34.0,0.025864061
37,10.0,0.016215386
38,4.0,0.013943884
39,5.0,0.007372128
40,5.0,0.0
41,19.0,0.018028231
42,13.0,0.016703561
43,23.0,0.01066606
44,10.0,0.009767991
45,10.0,0.007701758
46,14.0,0.005356137
47,9.0,0.00697245
48,5.0,0.006020853
49,3.0,0.065287072
50,7.0,0.073521324
51,5.0,0.043649988
52,10.0,0.014847659
53,10.0,0.012076479
54,3.0,0.008383341
55,4.0,0.004824501
56,5.0,0.060756252
57,9.0,0.039966318
58,8.0,0.027297294
59,7.0,0.019779018
60,4.0,0.016411853
61,5.0,0.0
62,5.0,0.014555462
63,5.0,0.012637652
64,5.0,0.234859165
65,5.0,0.063572235
66,4.0,0.037154809
67,19.0,0.028312145
68,5.0,0.021037411
69,9.0,0.013991571
70,4.0,0.177543284
71,11.0,0.096676473
72,4.0,0.058111843
73,3.0,0.039743001
74,4.0,0.469855773
75,5.0,0.21535405999999999
76,5.0,0.184832256
77,5.0,0.05734916
78,5.0,0.225549553
79,5.0,0.266464192
80,12.0,0.151875818
81,5.0,0.126454285
82,15.0,0.119991004
83,4.0,0.099319245
84,4.0,0.157873303
85,4.0,0.066301144
0,5.0,0.0
1,5.0,0.0
2,5.0,0.0
3,5.0,0.0
4,4.0,0.01336589
5,4.0,0.0
6,5.0,0.0
7,4.0,1.735e-05
8,20.0,0.0
9,3.0,0.0145176948
10,5.0,0.000101741
11,5.0,0.0011487239
12,3.0,0.0017266859999999998
13,3.0,0.00023827
14,3.0,0.000131844
15,5.0,0.000184087
16,1.0,0.0197138138
17,5.0,0.000138696
18,5.0,0.000190029
19,4.0,0.00025602999999999997
20,8.0,0.0085431274
21,4.0,0.000748306
22,4.0,0.0119862224
23,1.0,0.0017276453
24,3.0,0.0057679043
0,4.0,0.000183958
1,10.0,0.001601777
2,4.0,0.000254059
3,5.0,0.00018630399999999998
4,4.0,0.0
5,5.0,0.0
6,9.0,0.0
7,4.0,0.0
8,5.0,0.0
