,date,percentage agreement average,percentage agreement sum,impact stats average,impact stats sum,correlation average,correlation sum
2018-8-26-afternoon,2018-8-26-afternoon,100.0,100.0,"                  Mean  Count      STD
smell value                           
3.0          18.798595      1      NaN
4.0          11.403283      2  4.65184","                  Mean  Count      STD
smell value                           
3.0          18.798595      1      NaN
4.0          11.403283      2  4.65184",-0.7921777755350051,-0.7921777755350051
2018-8-27-morning,2018-8-27-morning,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.0           5.492170      2  0.563528
3.0          12.169460      3  2.498526
4.0           8.040564      3  8.156612","                  Mean  Count       STD
smell value                            
1.0           5.492170      2  0.563528
3.0          12.169460      3  2.498526
4.0           8.040564      3  8.156612",0.23614117746519261,0.23614117746519261
2018-8-27-afternoon,2018-8-27-afternoon,100.0,100.0,"                  Mean  Count        STD
smell value                             
1.0          31.901882      1        NaN
2.0          29.347290      1        NaN
3.0          19.694944      2  10.773808","                  Mean  Count        STD
smell value                             
1.0          31.901882      1        NaN
2.0          29.347290      1        NaN
3.0          19.694944      2  10.773808",-0.6896056690300417,-0.6896056690300417
2018-8-28-morning,2018-8-28-morning,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.0          11.555926      1       NaN
3.0          13.542542      4  8.434748
4.0           6.689741      4  3.118611
5.0           7.262300      1       NaN","                  Mean  Count        STD
smell value                             
1.0          11.555926      1        NaN
3.0          12.573389      3  10.053951
4.0           6.689741      4   3.118611
5.0           7.262300      1        NaN
6.0          16.450001      1        NaN",-0.36191279416993344,-0.03081072580548215
2018-8-28-afternoon,2018-8-28-afternoon,100.0,100.0,"                  Mean  Count        STD
smell value                             
2.0           0.000004      1        NaN
3.0           5.831560      3  10.100157
4.0          14.147150      1        NaN
5.0           0.004471      1        NaN","                  Mean  Count        STD
smell value                             
2.0           0.000004      1        NaN
3.0           5.831560      3  10.100157
4.0          14.147150      1        NaN
5.0           0.004471      1        NaN",0.08480264381607114,0.08480264381607114
2018-8-29-morning,2018-8-29-morning,100.0,100.0,"                  Mean  Count       STD
smell value                            
2.0          10.299940      1       NaN
4.0           9.595219      5  5.196883
5.0           6.734252      1       NaN","                  Mean  Count       STD
smell value                            
2.0          10.299940      1       NaN
4.0           9.595219      5  5.196883
5.0           6.734252      1       NaN",-0.19284513871578018,-0.19284513871578018
2018-8-29-afternoon,2018-8-29-afternoon,100.0,100.0,"                 Mean  Count       STD
smell value                           
2.0          5.062802      1       NaN
3.0          7.248787      2  4.417267","                 Mean  Count       STD
smell value                           
2.0          5.062802      1       NaN
3.0          7.248787      2  4.417267",0.3746350436331247,0.3746350436331247
2018-8-30-morning,2018-8-30-morning,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.0          15.370931      2  4.123363
4.0          12.241290      1       NaN","                  Mean  Count  STD
smell value                       
1.0          12.455273      1  NaN
2.0          18.286589      1  NaN
4.0          12.241290      1  NaN",-0.5267692927200742,-0.21951966801792414
2018-8-30-afternoon,2018-8-30-afternoon,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.0          16.224458      1       NaN
2.0          21.232986      1       NaN
3.0          19.525454      3  0.895669
4.0          17.727684      4  4.072349","                  Mean  Count       STD
smell value                            
2.0          18.728722      2  3.541564
3.0          19.525454      3  0.895669
4.0          17.727684      4  4.072349",-0.0531216736710789,-0.18549418875635745
2018-8-31-morning,2018-8-31-morning,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.0           8.771331      4  9.333761
3.0          16.612597      1       NaN
4.0           6.091017      2  5.570689","                  Mean  Count       STD
smell value                            
1.0           8.771331      4  9.333761
3.0          16.612597      1       NaN
4.0           6.091017      2  5.570689",-0.047061801313895424,-0.047061801313895424
2018-8-31-afternoon,2018-8-31-afternoon,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.0          11.542748      2  5.016595
2.0          13.051335      1       NaN","                  Mean  Count       STD
smell value                            
1.0          11.542748      2  5.016595
2.0          13.051335      1       NaN",0.2384534486942501,0.2384534486942501
